Date,Time,sensor,status
2023/10/26,15:18:02,1,1
2023/10/26,15:17:03,100,0.5
2023/10/26,15:16:53,1,0.5
2023/10/26,15:16:47,103,0.5
2023/10/26,15:16:40,3,0.5
2023/10/26,15:16:39,2,0.5
2023/10/26,15:16:38,1,1
2023/10/26,15:16:37,100,1
2023/10/26,15:16:36,27,0.5
2023/10/26,15:16:34,2,1
2023/10/26,15:16:34,22,0.5
2023/10/26,15:16:34,21,0.5
2023/10/26,15:16:33,24,0.5
2023/10/26,15:16:32,3,1
2023/10/26,15:16:32,25,0.5
2023/10/26,15:16:31,27,1
2023/10/26,15:16:29,21,1
2023/10/26,15:16:28,22,1
2023/10/26,15:16:26,23,1
2023/10/26,15:16:26,25,1
2023/10/26,15:16:25,24,1
2023/10/26,15:16:17,24,0.5
2023/10/26,15:16:16,23,0.5
2023/10/26,15:16:16,25,0.5
2023/10/26,15:16:15,21,0.5
2023/10/26,15:16:14,22,0.5
2023/10/26,15:16:11,21,1
2023/10/26,15:16:11,104,0.5
2023/10/26,15:16:09,23,1
2023/10/26,15:16:08,25,1
2023/10/26,15:16:07,24,1
2023/10/26,15:16:01,25,0.5
2023/10/26,15:16:01,24,0.5
2023/10/26,15:15:59,23,0.5
2023/10/26,15:15:53,21,0.5
2023/10/26,15:15:51,21,1
2023/10/26,15:15:50,22,1
2023/10/26,15:15:46,23,1
2023/10/26,15:15:46,25,1
2023/10/26,15:15:43,24,1
2023/10/26,15:15:38,25,0.5
2023/10/26,15:15:34,25,1
2023/10/26,15:15:33,41,0.5
2023/10/26,15:15:31,103,1
2023/10/26,15:15:31,3,0.5
2023/10/26,15:15:27,3,1
2023/10/26,15:15:26,42,0.5
2023/10/26,15:15:26,46,1
2023/10/26,15:15:25,44,0.5
2023/10/26,15:15:23,41,1
2023/10/26,15:15:23,42,1
2023/10/26,15:15:19,43,0.5
2023/10/26,15:15:16,41,0.5
2023/10/26,15:15:16,42,0.5
2023/10/26,15:15:15,43,1
2023/10/26,15:15:14,44,1
2023/10/26,15:15:13,46,0.5
2023/10/26,15:15:10,3,0.5
2023/10/26,15:15:09,46,1
2023/10/26,15:15:08,3,1
2023/10/26,15:15:08,44,0.5
2023/10/26,15:15:08,41,1
2023/10/26,15:15:07,43,0.5
2023/10/26,15:15:06,42,1
2023/10/26,15:15:03,43,1
2023/10/26,15:15:03,106,0.5
2023/10/26,15:15:01,43,0.5
2023/10/26,15:14:59,46,0.5
2023/10/26,15:14:52,46,1
2023/10/26,15:14:50,104,1
2023/10/26,15:14:48,44,1
2023/10/26,15:14:48,43,1
2023/10/26,15:14:32,104,0.5
2023/10/26,15:14:17,43,0.5
2023/10/26,15:14:16,44,0.5
2023/10/26,15:14:15,106,1
2023/10/26,15:14:09,42,0.5
2023/10/26,15:14:06,44,1
2023/10/26,15:14:06,43,1
2023/10/26,15:14:05,44,0.5
2023/10/26,15:14:04,41,1
2023/10/26,15:14:03,43,0.5
2023/10/26,15:14:03,42,1
2023/10/26,15:14:00,42,0.5
2023/10/26,15:13:58,3,0.5
2023/10/26,15:13:57,44,1
2023/10/26,15:13:57,46,0.5
2023/10/26,15:13:57,43,1
2023/10/26,15:13:56,105,0.5
2023/10/26,15:13:55,43,0.5
2023/10/26,15:13:55,3,1
2023/10/26,15:13:54,46,1
2023/10/26,15:13:53,44,0.5
2023/10/26,15:13:52,46,0.5
2023/10/26,15:13:52,42,1
2023/10/26,15:13:50,43,1
2023/10/26,15:13:49,46,1
2023/10/26,15:13:48,43,0.5
2023/10/26,15:13:47,44,1
2023/10/26,15:13:46,104,1
2023/10/26,15:13:46,51,0.5
2023/10/26,15:13:37,43,1
2023/10/26,15:13:34,43,0.5
2023/10/26,15:13:29,43,1
2023/10/26,15:13:27,104,0.5
2023/10/26,15:13:27,43,0.5
2023/10/26,15:13:22,43,1
2023/10/26,15:13:21,43,0.5
2023/10/26,15:13:16,44,0.5
2023/10/26,15:13:15,105,1
2023/10/26,15:13:15,51,1
2023/10/26,15:13:07,44,1
2023/10/26,15:13:05,44,0.5
2023/10/26,15:13:00,46,0.5
2023/10/26,15:13:00,42,0.5
2023/10/26,15:12:59,44,1
2023/10/26,15:12:58,43,1
2023/10/26,15:12:57,46,1
2023/10/26,15:12:55,44,0.5
2023/10/26,15:12:54,43,0.5
2023/10/26,15:12:54,46,0.5
2023/10/26,15:12:53,42,1
